"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"FC1",5,1,91,0,0,4,0,1,0,0,0,0,3,10,0,0,11,0
"FE1",20,7,8,3,0,0,0,1,0,0,0,2,4,4,0,4,8,0
"FE2",725,95,35,168,10,50,0,27,0,0,6,13,75,24,1,28,29,0
"FE3",2386,149,32,937,163,195,0,18,5,2,19,23,262,45,2,71,112,0
"FE4",53,17,0,81,4,0,0,0,0,0,0,0,2,0,0,0,0,0
"FE5",249,4,53,40,0,12,0,5,0,0,0,0,10,16,0,0,30,0
"FE6",94,41,429,41,0,18,0,1,0,0,0,1,18,66,0,0,33,0
"FO1",0,17,0,0,0,0,0,53,0,0,0,16,3,0,0,6,0,0
"MF1",8,27,0,0,9,0,0,6,8,6,8,157,33,8,0,88,2,0
"MJ1",377,199,14,33,455,52,0,27,9,12,69,110,182,65,0,139,95,1
"MJ2",59,864,14,0,1158,57,15,114,125,199,670,359,826,235,2,467,174,16
"MS1",59,138,1,2,550,3,16,63,49,233,279,124,258,14,10,99,17,3
"MS2",3,28,0,1,17,0,441,323,333,2046,1677,291,1227,100,33,62,20,45
"MS6",0,112,0,0,0,0,22,28,51,104,151,46,292,7,6,22,6,4
"RB1",0,0,0,0,2,0,0,13,0,10,7,92,13,7,0,17,0,2
"RC3",0,7,0,0,8,0,2,4,24,1,4,10,7,0,0,285,0,0
"RE1",0,0,0,0,0,0,5,182,16,0,0,4,0,0,587,0,0,178
"RE2",0,5,0,0,0,0,78,815,612,25,66,38,163,25,3293,0,9,1313
"RE3",0,7,0,4,2,0,30,182,224,10,16,74,10,0,1617,0,0,34
"RP1",0,2,32,0,1,2,0,2,12,1,24,4,14,525,6,48,16,14
"RS1",4,66,0,0,4,4,3,8,54,6,17,58,139,24,4,862,13,0
"RS2",3,19,0,0,11,0,1413,319,2347,281,508,117,420,118,731,28,24,189
"RS3",0,28,0,0,4,0,135,75,334,95,99,86,26,5,158,29,0,0
"RS5",0,26,0,0,7,0,4,11,14,14,16,171,11,10,0,5,1,7
"RT1",16,83,0,1,2,208,0,1,0,0,0,4,5,5,0,28,15,0
