"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"FC1",0,1,5,91,0,0,4,0,1,0,0,0,0,0,3,10,0,0,0,11,0
"FE1",8,7,12,8,3,0,0,0,1,0,0,0,0,2,4,4,0,0,4,8,0
"FE2",142,95,583,35,168,10,50,0,27,0,0,0,6,12,75,24,1,1,28,29,0
"FE3",1682,149,704,32,937,163,195,0,18,5,2,1,18,19,262,45,2,4,71,112,0
"FE4",34,17,19,0,81,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"FE5",41,4,208,53,40,0,12,0,5,0,0,0,0,0,10,16,0,0,0,30,0
"FE6",41,41,53,429,41,0,18,0,1,0,0,0,0,0,18,66,0,1,0,33,0
"FO1",0,17,0,0,0,0,0,0,53,0,0,0,0,16,3,0,0,0,6,0,0
"MF1",3,27,5,0,0,9,0,0,6,8,6,8,0,157,33,8,0,0,88,2,0
"MJ1",355,199,22,14,33,455,52,0,27,9,12,31,38,84,182,65,0,26,139,95,1
"MJ2",54,864,5,14,0,1158,57,15,114,125,199,299,371,307,826,235,2,52,467,174,16
"MS1",56,138,3,1,2,550,3,16,63,49,233,165,114,78,258,14,10,46,99,17,3
"MS2",2,28,1,0,1,17,0,441,323,333,2046,936,741,131,1227,100,33,160,62,20,45
"MS6",0,112,0,0,0,0,0,22,28,51,104,95,56,38,292,7,6,8,22,6,4
"RB1",0,0,0,0,0,2,0,0,13,0,10,5,2,12,13,7,0,80,17,0,2
"RC3",0,7,0,0,0,8,0,2,4,24,1,1,3,8,7,0,0,2,285,0,0
"RE1",0,0,0,0,0,0,0,5,182,16,0,0,0,3,0,0,587,1,0,0,178
"RE2",0,5,0,0,0,0,0,78,815,612,25,14,52,37,163,25,3293,1,0,9,1313
"RE3",0,7,0,0,4,2,0,30,182,224,10,9,7,62,10,0,1617,12,0,0,34
"RP1",0,2,0,32,0,1,2,0,2,12,1,13,11,3,14,525,6,1,48,16,14
"RS1",4,66,0,0,0,4,4,3,8,54,6,10,7,53,139,24,4,5,862,13,0
"RS2",3,19,0,0,0,11,0,1413,319,2347,281,288,220,86,420,118,731,31,28,24,189
"RS3",0,28,0,0,0,4,0,135,75,334,95,68,31,85,26,5,158,1,29,0,0
"RS5",0,26,0,0,0,7,0,4,11,14,14,9,7,162,11,10,0,9,5,1,7
"RT1",14,83,2,0,1,2,208,0,1,0,0,0,0,4,5,5,0,0,28,15,0
